Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,0
Sample Interval,4e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,0
Label,
TIME,CH1
-1.8604e-05,-0.056
-1.8600e-05,-0.0152
-1.8596e-05,0.0728
-1.8592e-05,-0.06
-1.8588e-05,-0.0024
-1.8584e-05,0.0672
-1.8580e-05,-0.0696
-1.8576e-05,0.0096
-1.8572e-05,0.0592
-1.8568e-05,-0.072
-1.8564e-05,0.0168
-1.8560e-05,0.0528
-1.8556e-05,-0.0776
-1.8552e-05,0.0328
-1.8548e-05,0.044
-1.8544e-05,-0.0736
-1.8540e-05,0.0464
-1.8536e-05,0.0344
-1.8532e-05,-0.0728
-1.8528e-05,0.0512
-1.8524e-05,0.0192
-1.8520e-05,-0.072
-1.8516e-05,0.0584
-1.8512e-05,0.008
-1.8508e-05,-0.0688
-1.8504e-05,0.0648
-1.8500e-05,-0.0016
-1.8496e-05,-0.06
-1.8492e-05,0.0728
-1.8488e-05,-0.016
-1.8484e-05,-0.0544
-1.8480e-05,0.0736
-1.8476e-05,-0.024
-1.8472e-05,-0.0472
-1.8468e-05,0.08
-1.8464e-05,-0.0368
-1.8460e-05,-0.036
-1.8456e-05,0.0752
-1.8452e-05,-0.0432
-1.8448e-05,-0.0248
-1.8444e-05,0.0752
-1.8440e-05,-0.0544
-1.8436e-05,-0.0144
-1.8432e-05,0.0712
-1.8428e-05,-0.0608
-1.8424e-05,-0.0016
-1.8420e-05,0.0656
-1.8416e-05,-0.0656
-1.8412e-05,0.0072
-1.8408e-05,0.0608
-1.8404e-05,-0.0728
-1.8400e-05,0.0184
-1.8396e-05,0.0552
-1.8392e-05,-0.0752
-1.8388e-05,0.0328
-1.8384e-05,0.044
-1.8380e-05,-0.0768
-1.8376e-05,0.0408
-1.8372e-05,0.032
-1.8368e-05,-0.0736
-1.8364e-05,0.0488
-1.8360e-05,0.0232
-1.8356e-05,-0.0696
-1.8352e-05,0.0616
-1.8348e-05,0.0096
-1.8344e-05,-0.0704
-1.8340e-05,0.0672
-1.8336e-05,-0.004
-1.8332e-05,-0.0608
-1.8328e-05,0.0728
