Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-07
Horizontal Delay,0
Sample Interval,8e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0
Label,
TIME,CH1
-3.4032e-06,0.024
-3.4024e-06,0.046
-3.4016e-06,-0.096
-3.4008e-06,0.102
-3.4000e-06,-0.066
-3.3992e-06,0.002
-3.3984e-06,0.066
-3.3976e-06,-0.104
-3.3968e-06,0.09
-3.3960e-06,-0.046
-3.3952e-06,-0.024
-3.3944e-06,0.084
-3.3936e-06,-0.106
-3.3928e-06,0.084
-3.3920e-06,-0.022
-3.3912e-06,-0.044
-3.3904e-06,0.094
-3.3896e-06,-0.102
-3.3888e-06,0.062
-3.3880e-06,0.008
-3.3872e-06,-0.07
-3.3864e-06,0.104
-3.3856e-06,-0.092
-3.3848e-06,0.042
-3.3840e-06,0.034
-3.3832e-06,-0.082
-3.3824e-06,0.102
-3.3816e-06,-0.074
-3.3808e-06,0.022
-3.3800e-06,0.046
-3.3792e-06,-0.096
-3.3784e-06,0.102
-3.3776e-06,-0.056
-3.3768e-06,-0.01
-3.3760e-06,0.072
-3.3752e-06,-0.1
-3.3744e-06,0.09
-3.3736e-06,-0.036
-3.3728e-06,-0.03
-3.3720e-06,0.09
-3.3712e-06,-0.104
-3.3704e-06,0.078
-3.3696e-06,-0.008
-3.3688e-06,-0.052
-3.3680e-06,0.098
-3.3672e-06,-0.098
-3.3664e-06,0.06
-3.3656e-06,0.014
-3.3648e-06,-0.072
-3.3640e-06,0.1
-3.3632e-06,-0.084
-3.3624e-06,0.032
-3.3616e-06,0.036
-3.3608e-06,-0.09
-3.3600e-06,0.1
-3.3592e-06,-0.07
-3.3584e-06,0.012
-3.3576e-06,0.064
-3.3568e-06,-0.1
-3.3560e-06,0.094
-3.3552e-06,-0.048
-3.3544e-06,-0.012
-3.3536e-06,0.076
-3.3528e-06,-0.104
-3.3520e-06,0.086
-3.3512e-06,-0.028
-3.3504e-06,-0.04
-3.3496e-06,0.094
-3.3488e-06,-0.108
-3.3480e-06,0.068
-3.3472e-06,0
-3.3464e-06,-0.062
-3.3456e-06,0.098
-3.3448e-06,-0.092
-3.3440e-06,0.048
-3.3432e-06,0.028
-3.3424e-06,-0.076
-3.3416e-06,0.1
-3.3408e-06,-0.08
-3.3400e-06,0.024
-3.3392e-06,0.046
-3.3384e-06,-0.09
-3.3376e-06,0.1
-3.3368e-06,-0.062
-3.3360e-06,-0.004
-3.3352e-06,0.068
-3.3344e-06,-0.104
-3.3336e-06,0.092
-3.3328e-06,-0.036
-3.3320e-06,-0.022
-3.3312e-06,0.082
-3.3304e-06,-0.104
-3.3296e-06,0.076
-3.3288e-06,-0.018
-3.3280e-06,-0.048
-3.3272e-06,0.096
-3.3264e-06,-0.098
-3.3256e-06,0.06
-3.3248e-06,0.01
-3.3240e-06,-0.064
-3.3232e-06,0.098
-3.3224e-06,-0.088
-3.3216e-06,0.04
-3.3208e-06,0.034
-3.3200e-06,-0.084
-3.3192e-06,0.106
-3.3184e-06,-0.07
-3.3176e-06,0.014
-3.3168e-06,0.054
-3.3160e-06,-0.1
-3.3152e-06,0.096
-3.3144e-06,-0.052
-3.3136e-06,-0.008
-3.3128e-06,0.078
-3.3120e-06,-0.108
-3.3112e-06,0.086
-3.3104e-06,-0.036
-3.3096e-06,-0.03
-3.3088e-06,0.09
-3.3080e-06,-0.104
-3.3072e-06,0.07
-3.3064e-06,-0.008
-3.3056e-06,-0.058
-3.3048e-06,0.102
-3.3040e-06,-0.098
-3.3032e-06,0.05
-3.3024e-06,0.018
-3.3016e-06,-0.082
-3.3008e-06,0.104
-3.3000e-06,-0.082
-3.2992e-06,0.034
-3.2984e-06,0.036
-3.2976e-06,-0.088
-3.2968e-06,0.104
-3.2960e-06,-0.062
-3.2952e-06,0.004
-3.2944e-06,0.062
-3.2936e-06,-0.096
-3.2928e-06,0.096
-3.2920e-06,-0.048
-3.2912e-06,-0.018
-3.2904e-06,0.076
-3.2896e-06,-0.102
-3.2888e-06,0.086
-3.2880e-06,-0.026
-3.2872e-06,-0.044
-3.2864e-06,0.092
-3.2856e-06,-0.102
-3.2848e-06,0.062
-3.2840e-06,0.002
-3.2832e-06,-0.062
-3.2824e-06,0.104
-3.2816e-06,-0.094
-3.2808e-06,0.044
-3.2800e-06,0.028
-3.2792e-06,-0.078
-3.2784e-06,0.106
-3.2776e-06,-0.08
-3.2768e-06,0.022
-3.2760e-06,0.05
-3.2752e-06,-0.098
-3.2744e-06,0.104
-3.2736e-06,-0.06
-3.2728e-06,0
-3.2720e-06,0.068
-3.2712e-06,-0.1
-3.2704e-06,0.092
-3.2696e-06,-0.036
-3.2688e-06,-0.026
-3.2680e-06,0.084
-3.2672e-06,-0.102
-3.2664e-06,0.076
-3.2656e-06,-0.014
-3.2648e-06,-0.052
-3.2640e-06,0.098
-3.2632e-06,-0.098
-3.2624e-06,0.06
-3.2616e-06,0.012
-3.2608e-06,-0.07
-3.2600e-06,0.104
-3.2592e-06,-0.09
-3.2584e-06,0.038
-3.2576e-06,0.036
-3.2568e-06,-0.086
-3.2560e-06,0.104
-3.2552e-06,-0.07
-3.2544e-06,0.018
-3.2536e-06,0.058
-3.2528e-06,-0.092
-3.2520e-06,0.096
-3.2512e-06,-0.05
-3.2504e-06,-0.01
-3.2496e-06,0.072
-3.2488e-06,-0.112
-3.2480e-06,0.088
-3.2472e-06,-0.026
-3.2464e-06,-0.034
-3.2456e-06,0.092
-3.2448e-06,-0.1
-3.2440e-06,0.072
-3.2432e-06,-0.008
-3.2424e-06,-0.06
-3.2416e-06,0.096
-3.2408e-06,-0.098
-3.2400e-06,0.05
-3.2392e-06,0.018
-3.2384e-06,-0.072
-3.2376e-06,0.106
-3.2368e-06,-0.082
-3.2360e-06,0.03
-3.2352e-06,0.042
-3.2344e-06,-0.088
-3.2336e-06,0.104
-3.2328e-06,-0.062
-3.2320e-06,0.004
-3.2312e-06,0.062
-3.2304e-06,-0.104
-3.2296e-06,0.098
-3.2288e-06,-0.046
-3.2280e-06,-0.022
-3.2272e-06,0.078
-3.2264e-06,-0.1
-3.2256e-06,0.084
-3.2248e-06,-0.02
-3.2240e-06,-0.046
-3.2232e-06,0.094
-3.2224e-06,-0.1
-3.2216e-06,0.064
-3.2208e-06,0.002
-3.2200e-06,-0.068
-3.2192e-06,0.104
-3.2184e-06,-0.09
-3.2176e-06,0.046
-3.2168e-06,0.028
-3.2160e-06,-0.082
-3.2152e-06,0.104
-3.2144e-06,-0.072
-3.2136e-06,0.018
-3.2128e-06,0.048
-3.2120e-06,-0.096
-3.2112e-06,0.104
