Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,1.63196e-06
Sample Interval,4e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.1
Label,
TIME,CH1
-1.81612e-05,0.023
-1.81608e-05,0.091
-1.81604e-05,0.029
-1.81600e-05,-0.073
-1.81596e-05,-0.075
-1.81592e-05,0.025
-1.81588e-05,0.095
-1.81584e-05,0.035
-1.81580e-05,-0.071
-1.81576e-05,-0.075
-1.81572e-05,0.029
-1.81568e-05,0.099
-1.81564e-05,0.041
-1.81560e-05,-0.065
-1.81556e-05,-0.079
-1.81552e-05,0.025
-1.81548e-05,0.097
-1.81544e-05,0.043
-1.81540e-05,-0.067
-1.81536e-05,-0.083
-1.81532e-05,0.021
-1.81528e-05,0.093
-1.81524e-05,0.043
-1.81520e-05,-0.063
-1.81516e-05,-0.081
-1.81512e-05,0.013
-1.81508e-05,0.091
-1.81504e-05,0.045
-1.81500e-05,-0.063
-1.81496e-05,-0.081
-1.81492e-05,0.015
-1.81488e-05,0.093
-1.81484e-05,0.045
-1.81480e-05,-0.063
-1.81476e-05,-0.083
-1.81472e-05,0.011
-1.81468e-05,0.091
-1.81464e-05,0.045
-1.81460e-05,-0.059
-1.81456e-05,-0.081
-1.81452e-05,0.011
-1.81448e-05,0.091
-1.81444e-05,0.049
-1.81440e-05,-0.063
-1.81436e-05,-0.085
-1.81432e-05,0.009
-1.81428e-05,0.089
-1.81424e-05,0.049
-1.81420e-05,-0.057
-1.81416e-05,-0.089
-1.81412e-05,0.007
-1.81408e-05,0.095
-1.81404e-05,0.055
-1.81400e-05,-0.055
-1.81396e-05,-0.087
-1.81392e-05,0.003
-1.81388e-05,0.087
-1.81384e-05,0.053
-1.81380e-05,-0.053
-1.81376e-05,-0.083
-1.81372e-05,0.005
-1.81368e-05,0.091
-1.81364e-05,0.055
-1.81360e-05,-0.057
-1.81356e-05,-0.085
-1.81352e-05,0.001
-1.81348e-05,0.087
-1.81344e-05,0.049
-1.81340e-05,-0.051
-1.81336e-05,-0.081
-1.81332e-05,-0.001
-1.81328e-05,0.081
-1.81324e-05,0.057
-1.81320e-05,-0.047
-1.81316e-05,-0.087
-1.81312e-05,-0.001
-1.81308e-05,0.091
-1.81304e-05,0.057
-1.81300e-05,-0.047
-1.81296e-05,-0.091
-1.81292e-05,-0.005
-1.81288e-05,0.087
-1.81284e-05,0.061
-1.81280e-05,-0.049
-1.81276e-05,-0.091
-1.81272e-05,-0.009
-1.81268e-05,0.081
-1.81264e-05,0.061
-1.81260e-05,-0.043
-1.81256e-05,-0.089
-1.81252e-05,-0.007
-1.81248e-05,0.085
-1.81244e-05,0.059
-1.81240e-05,-0.045
-1.81236e-05,-0.087
-1.81232e-05,-0.013
-1.81228e-05,0.083
-1.81224e-05,0.065
-1.81220e-05,-0.041
-1.81216e-05,-0.089
-1.81212e-05,-0.013
-1.81208e-05,0.087
-1.81204e-05,0.071
-1.81200e-05,-0.037
-1.81196e-05,-0.089
-1.81192e-05,-0.011
-1.81188e-05,0.077
-1.81184e-05,0.061
-1.81180e-05,-0.039
-1.81176e-05,-0.093
-1.81172e-05,-0.017
-1.81168e-05,0.083
-1.81164e-05,0.073
